# mu=0.0121504632922363 L1_x=-0.836915727639612 L2_x=-1.15568169499938
orbit_id,x0,y0,z0,vx0,vy0,vz0,T,nu1,nu2,lambda_max
93,-1.05106455043014,0,-0.196729796485799,0,0.1583550460805,0,1.9078217970674,1.06064792886757,-1.47721664685919,0.637175016888206
94,-1.05158031203096,0,-0.196911739408939,0,0.159192238449362,0,1.9152575968325,1.05317350887333,-1.47338097458973,0.635662552224371
95,-1.0520984768813,0,-0.197090633107405,0,0.160028603183012,0,1.9227271538189,1.0456638877633,-1.46890488067905,0.633993594448368
96,-1.05261903033189,0,-0.197267043989346,0,0.160864011071049,0,1.93023715524854,1.03810055674923,-1.46376357380099,0.63215159995864
97,-1.05314196847916,0,-0.19744144644526,0,0.161698350401214,0,1.93779341753162,1.03046654013762,-1.45792908127902,0.63011780843854
98,-1.05366727420421,0,-0.19761466849175,0,0.162531447014735,0,1.94540565328159,1.02272623412782,-1.45136112755239,0.627859446501458
99,-1.05419503615759,0,-0.197785507265545,0,0.163363483059751,0,1.95306183147456,1.01493592600096,-1.44405957878614,0.625394140653981
100,-1.05472523993728,0,-0.197954802867347,0,0.164194281135812,0,1.96077187421122,1.00705888766115,-1.43598051854795,0.622684210700058
101,-1.05525791254639,0,-0.198122630197674,0,0.165023796896155,0,1.96853755097916,0.999092175428064,-1.42709296115273,0.619708086743116
102,-1.05579308113426,0,-0.198289101165856,0,0.165851978349021,0,1.97636107933571,0.991030462794222,-1.41736260973349,0.616439420178323
103,-1.05633084410029,0,-0.19845255164496,0,0.166679081449909,0,1.98422525641312,0.982963380030337,-1.40681197856592,0.612914378270096
104,-1.05687121919159,0,-0.19861311419877,0,0.167505046594592,0,1.99213238346821,0.974892186760383,-1.39541473518638,0.609110231724828
105,-1.05741424765306,0,-0.198770304759746,0,0.168329920871073,0,2.00007799731396,0.966853325201973,-1.38316642802868,0.605026618818546
106,-1.05795987417755,0,-0.198926754581041,0,0.169153217875644,0,2.00809224298875,0.958702346905056,-1.36993676889241,0.600521367858148
107,-1.05850819293128,0,-0.199080579341839,0,0.169975220232431,0,2.01615532634607,0.950552626587237,-1.35576608532037,0.595638014802107
108,-1.05905921987376,0,-0.19923239966439,0,0.170795783028145,0,2.02427526277933,0.942373592564699,-1.34059543328571,0.590305141944668
109,-1.05961299139946,0,-0.199382239402265,0,0.171614860957817,0,2.03245349624287,0.934168747815943,-1.32438721667731,0.584469017579937
110,-1.06016954850839,0,-0.199529966284209,0,0.172432433419043,0,2.04068974673547,0.92595300667536,-1.30711030300173,0.578075286604771
111,-1.06072894836784,0,-0.199674364260733,0,0.173248660279765,0,2.04897137783702,0.917819156723205,-1.28879748547031,0.571132566799394
112,-1.06129121858642,0,-0.199815629695949,0,0.174063461660409,0,2.05730172048351,0.909769905832778,-1.26940992750875,0.563559824739546
